SI,e1,e2,load,fc,count,len,amp,image
0,0.1,0.07,6,0.01,8,17.33,0.794297,Snaking_E1_0_E2_0_Fric_0_load_0.jpg
1,0.1,0.07,8,0.01,7,31.82,1.7993,Snaking_E1_0_E2_0_Fric_0_load_1.jpg
2,0.1,0.07,10,0.01,11,33.88,2.26721,Snaking_E1_0_E2_0_Fric_0_load_2.jpg
3,0.1,0.07,12,0.01,10,40.09,4.42073,Snaking_E1_0_E2_0_Fric_0_load_3.jpg
4,0.1,0.07,14,0.01,12,42.01,2.53574,Snaking_E1_0_E2_0_Fric_0_load_4.jpg
5,0.1,0.07,6,5,7,14.87,1.55118,Snaking_E1_0_E2_0_Fric_1_load_0.jpg
6,0.1,0.07,8,5,13,31.36,1.77441,Snaking_E1_0_E2_0_Fric_1_load_1.jpg
7,0.1,0.07,10,5,10,34.87,2.90338,Snaking_E1_0_E2_0_Fric_1_load_2.jpg
8,0.1,0.07,12,5,9,39.86,2.56268,Snaking_E1_0_E2_0_Fric_1_load_3.jpg
9,0.1,0.07,14,5,8,42.86,3.87805,Snaking_E1_0_E2_0_Fric_1_load_4.jpg
10,0.1,0.07,6,10,8,18.76,0.969158,Snaking_E1_0_E2_0_Fric_2_load_0.jpg
11,0.1,0.07,8,10,10,30.44,1.71453,Snaking_E1_0_E2_0_Fric_2_load_1.jpg
12,0.1,0.07,10,10,9,33.4,4.12783,Snaking_E1_0_E2_0_Fric_2_load_2.jpg
13,0.1,0.07,12,10,10,37.18,3.70636,Snaking_E1_0_E2_0_Fric_2_load_3.jpg
14,0.1,0.07,14,10,10,43,4.05813,Snaking_E1_0_E2_0_Fric_2_load_4.jpg
15,0.1,0.07,6,15,9,18.81,0.911756,Snaking_E1_0_E2_0_Fric_3_load_0.jpg
16,0.1,0.07,8,15,7,26.16,2.12521,Snaking_E1_0_E2_0_Fric_3_load_1.jpg
17,0.1,0.07,10,15,9,37.18,2.85054,Snaking_E1_0_E2_0_Fric_3_load_2.jpg
18,0.1,0.07,12,15,8,34.77,4.51413,Snaking_E1_0_E2_0_Fric_3_load_3.jpg
19,0.1,0.07,14,15,10,41.74,5.89991,Snaking_E1_0_E2_0_Fric_3_load_4.jpg
20,0.1,0.07,6,20,9,19.78,0.874445,Snaking_E1_0_E2_0_Fric_4_load_0.jpg
21,0.1,0.07,8,20,8,26.22,2.05509,Snaking_E1_0_E2_0_Fric_4_load_1.jpg
22,0.1,0.07,10,20,9,35.51,3.26554,Snaking_E1_0_E2_0_Fric_4_load_2.jpg
23,0.1,0.07,12,20,9,39.83,2.67777,Snaking_E1_0_E2_0_Fric_4_load_3.jpg
24,0.1,0.07,14,20,12,44.76,4.79973,Snaking_E1_0_E2_0_Fric_4_load_4.jpg
25,0.1,0.07,6,25,7,14.88,1.46825,Snaking_E1_0_E2_0_Fric_5_load_0.jpg
26,0.1,0.07,8,25,9,31.73,2.11175,Snaking_E1_0_E2_0_Fric_5_load_1.jpg
27,0.1,0.07,10,25,10,36.3,3.45105,Snaking_E1_0_E2_0_Fric_5_load_2.jpg
28,0.1,0.07,12,25,11,39.94,2.46472,Snaking_E1_0_E2_0_Fric_5_load_3.jpg
29,0.1,0.07,14,25,7,39.81,6.02328,Snaking_E1_0_E2_0_Fric_5_load_4.jpg
30,0.1,0.07,6,30,7,14.82,1.07932,Snaking_E1_0_E2_0_Fric_6_load_0.jpg
31,0.1,0.07,8,30,9,27.46,2.59611,Snaking_E1_0_E2_0_Fric_6_load_1.jpg
32,0.1,0.07,10,30,9,37.13,1.99154,Snaking_E1_0_E2_0_Fric_6_load_2.jpg
33,0.1,0.07,12,30,9,38.17,3.84714,Snaking_E1_0_E2_0_Fric_6_load_3.jpg
34,0.1,0.07,14,30,11,45.23,1.99114,Snaking_E1_0_E2_0_Fric_6_load_4.jpg
35,0.1,0.07,6,35,7,14.39,1.39168,Snaking_E1_0_E2_0_Fric_7_load_0.jpg
36,0.1,0.07,8,35,12,31.96,2.37668,Snaking_E1_0_E2_0_Fric_7_load_1.jpg
37,0.1,0.07,10,35,9,35.04,1.6432,Snaking_E1_0_E2_0_Fric_7_load_2.jpg
38,0.1,0.07,12,35,13,39.41,1.65566,Snaking_E1_0_E2_0_Fric_7_load_3.jpg
39,0.1,0.07,14,35,9,44.47,3.60543,Snaking_E1_0_E2_0_Fric_7_load_4.jpg
40,0.1,0.07,6,40,9,19.81,0.896268,Snaking_E1_0_E2_0_Fric_8_load_0.jpg
41,0.1,0.07,8,40,10,30.83,1.87697,Snaking_E1_0_E2_0_Fric_8_load_1.jpg
42,0.1,0.07,10,40,12,36.33,2.13852,Snaking_E1_0_E2_0_Fric_8_load_2.jpg
43,0.1,0.07,12,40,8,40.88,2.71735,Snaking_E1_0_E2_0_Fric_8_load_3.jpg
44,0.1,0.07,14,40,8,43.6,2.75083,Snaking_E1_0_E2_0_Fric_8_load_4.jpg
45,0.1,0.07,6,45,8,18.35,1.60057,Snaking_E1_0_E2_0_Fric_9_load_0.jpg
46,0.1,0.07,8,45,7,30.81,1.85849,Snaking_E1_0_E2_0_Fric_9_load_1.jpg
47,0.1,0.07,10,45,10,31.37,2.51309,Snaking_E1_0_E2_0_Fric_9_load_2.jpg
48,0.1,0.07,12,45,10,37.65,4.58378,Snaking_E1_0_E2_0_Fric_9_load_3.jpg
49,0.1,0.07,14,45,8,43.59,4.0319,Snaking_E1_0_E2_0_Fric_9_load_4.jpg
50,0.1,0.08,6,0.01,7,15.39,1.5279,Snaking_E1_0_E2_1_Fric_0_load_0.jpg
51,0.1,0.08,8,0.01,11,30.46,1.44665,Snaking_E1_0_E2_1_Fric_0_load_1.jpg
52,0.1,0.08,10,0.01,10,34.38,3.81965,Snaking_E1_0_E2_1_Fric_0_load_2.jpg
53,0.1,0.08,12,0.01,9,35.93,2.29383,Snaking_E1_0_E2_1_Fric_0_load_3.jpg
54,0.1,0.08,14,0.01,13,43.1,2.95399,Snaking_E1_0_E2_1_Fric_0_load_4.jpg
55,0.1,0.08,6,5,7,14.37,1.28279,Snaking_E1_0_E2_1_Fric_1_load_0.jpg
56,0.1,0.08,8,5,8,26.08,1.97337,Snaking_E1_0_E2_1_Fric_1_load_1.jpg
57,0.1,0.08,10,5,12,36.33,2.2376,Snaking_E1_0_E2_1_Fric_1_load_2.jpg
58,0.1,0.08,12,5,11,40.71,1.90102,Snaking_E1_0_E2_1_Fric_1_load_3.jpg
59,0.1,0.08,14,5,10,45.24,3.4888,Snaking_E1_0_E2_1_Fric_1_load_4.jpg
60,0.1,0.08,6,10,7,14.88,1.47667,Snaking_E1_0_E2_1_Fric_2_load_0.jpg
61,0.1,0.08,8,10,10,30.59,1.81608,Snaking_E1_0_E2_1_Fric_2_load_1.jpg
62,0.1,0.08,10,10,12,36.43,2.10422,Snaking_E1_0_E2_1_Fric_2_load_2.jpg
63,0.1,0.08,12,10,10,37.19,2.74042,Snaking_E1_0_E2_1_Fric_2_load_3.jpg
64,0.1,0.08,14,10,8,43.48,2.69946,Snaking_E1_0_E2_1_Fric_2_load_4.jpg
65,0.1,0.08,6,15,6,12.37,1.32445,Snaking_E1_0_E2_1_Fric_3_load_0.jpg
66,0.1,0.08,8,15,9,26.59,2.2632,Snaking_E1_0_E2_1_Fric_3_load_1.jpg
67,0.1,0.08,10,15,11,34.91,2.26512,Snaking_E1_0_E2_1_Fric_3_load_2.jpg
68,0.1,0.08,12,15,9,40.75,2.40859,Snaking_E1_0_E2_1_Fric_3_load_3.jpg
69,0.1,0.08,14,15,10,42.98,4.01736,Snaking_E1_0_E2_1_Fric_3_load_4.jpg
70,0.1,0.08,6,20,8,16.78,0.689971,Snaking_E1_0_E2_1_Fric_4_load_0.jpg
71,0.1,0.08,8,20,8,28.72,1.78791,Snaking_E1_0_E2_1_Fric_4_load_1.jpg
72,0.1,0.08,10,20,8,36.48,3.47594,Snaking_E1_0_E2_1_Fric_4_load_2.jpg
73,0.1,0.08,12,20,10,36.91,1.70396,Snaking_E1_0_E2_1_Fric_4_load_3.jpg
74,0.1,0.08,14,20,11,43.95,6.02162,Snaking_E1_0_E2_1_Fric_4_load_4.jpg
75,0.1,0.08,6,25,7,14.35,1.19013,Snaking_E1_0_E2_1_Fric_5_load_0.jpg
76,0.1,0.08,8,25,9,28.68,1.77564,Snaking_E1_0_E2_1_Fric_5_load_1.jpg
77,0.1,0.08,10,25,8,34.93,2.72667,Snaking_E1_0_E2_1_Fric_5_load_2.jpg
78,0.1,0.08,12,25,10,39.16,2.87465,Snaking_E1_0_E2_1_Fric_5_load_3.jpg
79,0.1,0.08,14,25,9,46.15,5.3526,Snaking_E1_0_E2_1_Fric_5_load_4.jpg
80,0.1,0.08,6,30,7,14.85,1.10648,Snaking_E1_0_E2_1_Fric_6_load_0.jpg
81,0.1,0.08,8,30,8,32.75,2.20988,Snaking_E1_0_E2_1_Fric_6_load_1.jpg
82,0.1,0.08,10,30,9,35.94,2.88278,Snaking_E1_0_E2_1_Fric_6_load_2.jpg
83,0.1,0.08,12,30,11,40.26,3.28009,Snaking_E1_0_E2_1_Fric_6_load_3.jpg
84,0.1,0.08,14,30,10,43.95,2.8937,Snaking_E1_0_E2_1_Fric_6_load_4.jpg
85,0.1,0.08,6,35,7,14.32,1.06186,Snaking_E1_0_E2_1_Fric_7_load_0.jpg
86,0.1,0.08,8,35,9,29.68,1.88463,Snaking_E1_0_E2_1_Fric_7_load_1.jpg
87,0.1,0.08,10,35,8,35.29,3.33633,Snaking_E1_0_E2_1_Fric_7_load_2.jpg
88,0.1,0.08,12,35,11,40.87,2.3023,Snaking_E1_0_E2_1_Fric_7_load_3.jpg
89,0.1,0.08,14,35,8,43.59,3.05252,Snaking_E1_0_E2_1_Fric_7_load_4.jpg
90,0.1,0.08,6,40,6,11.9,1.03118,Snaking_E1_0_E2_1_Fric_8_load_0.jpg
91,0.1,0.08,8,40,7,27.53,2.20153,Snaking_E1_0_E2_1_Fric_8_load_1.jpg
92,0.1,0.08,10,40,9,37.58,2.78537,Snaking_E1_0_E2_1_Fric_8_load_2.jpg
93,0.1,0.08,12,40,9,40.6,2.21357,Snaking_E1_0_E2_1_Fric_8_load_3.jpg
94,0.1,0.08,14,40,10,45.82,1.5204,Snaking_E1_0_E2_1_Fric_8_load_4.jpg
95,0.1,0.08,6,45,7,14.87,1.53505,Snaking_E1_0_E2_1_Fric_9_load_0.jpg
96,0.1,0.08,8,45,9,28.56,2.22217,Snaking_E1_0_E2_1_Fric_9_load_1.jpg
97,0.1,0.08,10,45,9,32.85,2.49986,Snaking_E1_0_E2_1_Fric_9_load_2.jpg
98,0.1,0.08,12,45,9,41.72,3.52534,Snaking_E1_0_E2_1_Fric_9_load_3.jpg
99,0.1,0.08,14,45,10,46.64,4.80796,Snaking_E1_0_E2_1_Fric_9_load_4.jpg
100,0.1,0.09,6,0.01,6,11.88,1.00792,Snaking_E1_0_E2_2_Fric_0_load_0.jpg
101,0.1,0.09,8,0.01,8,32.77,2.26524,Snaking_E1_0_E2_2_Fric_0_load_1.jpg
102,0.1,0.09,10,0.01,8,32.02,2.21735,Snaking_E1_0_E2_2_Fric_0_load_2.jpg
103,0.1,0.09,12,0.01,8,40.48,2.47161,Snaking_E1_0_E2_2_Fric_0_load_3.jpg
104,0.1,0.09,14,0.01,9,43.94,3.30757,Snaking_E1_0_E2_2_Fric_0_load_4.jpg
105,0.1,0.09,6,5,6,12.85,1.20058,Snaking_E1_0_E2_2_Fric_1_load_0.jpg
106,0.1,0.09,8,5,8,27.54,1.85571,Snaking_E1_0_E2_2_Fric_1_load_1.jpg
107,0.1,0.09,10,5,9,35.46,2.91884,Snaking_E1_0_E2_2_Fric_1_load_2.jpg
108,0.1,0.09,12,5,11,41.52,3.85066,Snaking_E1_0_E2_2_Fric_1_load_3.jpg
109,0.1,0.09,14,5,12,44.27,4.04835,Snaking_E1_0_E2_2_Fric_1_load_4.jpg
110,0.1,0.09,6,10,7,14.86,1.40639,Snaking_E1_0_E2_2_Fric_2_load_0.jpg
111,0.1,0.09,8,10,7,25.79,1.93754,Snaking_E1_0_E2_2_Fric_2_load_1.jpg
112,0.1,0.09,10,10,10,36.88,2.23081,Snaking_E1_0_E2_2_Fric_2_load_2.jpg
113,0.1,0.09,12,10,10,39.74,3.04518,Snaking_E1_0_E2_2_Fric_2_load_3.jpg
114,0.1,0.09,14,10,9,43.61,2.50044,Snaking_E1_0_E2_2_Fric_2_load_4.jpg
115,0.1,0.09,6,15,7,15.34,1.10822,Snaking_E1_0_E2_2_Fric_3_load_0.jpg
116,0.1,0.09,8,15,9,28.55,1.63893,Snaking_E1_0_E2_2_Fric_3_load_1.jpg
117,0.1,0.09,10,15,9,36.01,2.37413,Snaking_E1_0_E2_2_Fric_3_load_2.jpg
118,0.1,0.09,12,15,10,42.28,3.44761,Snaking_E1_0_E2_2_Fric_3_load_3.jpg
119,0.1,0.09,14,15,12,44.27,4.67206,Snaking_E1_0_E2_2_Fric_3_load_4.jpg
120,0.1,0.09,6,20,7,13.75,0.596089,Snaking_E1_0_E2_2_Fric_4_load_0.jpg
121,0.1,0.09,8,20,10,28.53,1.77808,Snaking_E1_0_E2_2_Fric_4_load_1.jpg
122,0.1,0.09,10,20,10,33.91,2.32953,Snaking_E1_0_E2_2_Fric_4_load_2.jpg
123,0.1,0.09,12,20,8,41.41,2.43452,Snaking_E1_0_E2_2_Fric_4_load_3.jpg
124,0.1,0.09,14,20,10,43.53,2.94644,Snaking_E1_0_E2_2_Fric_4_load_4.jpg
125,0.1,0.09,6,25,6,12.86,1.22019,Snaking_E1_0_E2_2_Fric_5_load_0.jpg
126,0.1,0.09,8,25,7,24.97,2.12931,Snaking_E1_0_E2_2_Fric_5_load_1.jpg
127,0.1,0.09,10,25,11,35.84,4.23051,Snaking_E1_0_E2_2_Fric_5_load_2.jpg
128,0.1,0.09,12,25,9,37.75,3.62813,Snaking_E1_0_E2_2_Fric_5_load_3.jpg
129,0.1,0.09,14,25,9,44.51,3.41576,Snaking_E1_0_E2_2_Fric_5_load_4.jpg
130,0.1,0.09,6,30,6,11.85,0.917622,Snaking_E1_0_E2_2_Fric_6_load_0.jpg
131,0.1,0.09,8,30,7,30.24,2.1004,Snaking_E1_0_E2_2_Fric_6_load_1.jpg
132,0.1,0.09,10,30,10,33.41,2.82545,Snaking_E1_0_E2_2_Fric_6_load_2.jpg
133,0.1,0.09,12,30,12,41.07,1.84246,Snaking_E1_0_E2_2_Fric_6_load_3.jpg
134,0.1,0.09,14,30,10,44.61,3.62493,Snaking_E1_0_E2_2_Fric_6_load_4.jpg
135,0.1,0.09,6,35,7,14.81,0.846236,Snaking_E1_0_E2_2_Fric_7_load_0.jpg
136,0.1,0.09,8,35,9,32.75,1.71816,Snaking_E1_0_E2_2_Fric_7_load_1.jpg
137,0.1,0.09,10,35,11,35.13,1.84595,Snaking_E1_0_E2_2_Fric_7_load_2.jpg
138,0.1,0.09,12,35,9,40.17,3.59289,Snaking_E1_0_E2_2_Fric_7_load_3.jpg
139,0.1,0.09,14,35,10,43.96,2.23378,Snaking_E1_0_E2_2_Fric_7_load_4.jpg
140,0.1,0.09,6,40,7,15.83,0.885338,Snaking_E1_0_E2_2_Fric_8_load_0.jpg
141,0.1,0.09,8,40,10,29.48,1.46219,Snaking_E1_0_E2_2_Fric_8_load_1.jpg
142,0.1,0.09,10,40,11,35.28,3.1656,Snaking_E1_0_E2_2_Fric_8_load_2.jpg
143,0.1,0.09,12,40,9,37.05,3.67958,Snaking_E1_0_E2_2_Fric_8_load_3.jpg
144,0.1,0.09,14,40,9,43.4,5.54067,Snaking_E1_0_E2_2_Fric_8_load_4.jpg
145,0.1,0.09,6,45,8,18.23,0.721476,Snaking_E1_0_E2_2_Fric_9_load_0.jpg
146,0.1,0.09,8,45,7,24.57,1.97439,Snaking_E1_0_E2_2_Fric_9_load_1.jpg
147,0.1,0.09,10,45,9,34.78,2.48666,Snaking_E1_0_E2_2_Fric_9_load_2.jpg
148,0.1,0.09,12,45,9,39.72,2.38201,Snaking_E1_0_E2_2_Fric_9_load_3.jpg
149,0.1,0.09,14,45,8,45,4.99652,Snaking_E1_0_E2_2_Fric_9_load_4.jpg
150,0.1,0.1,6,0.01,6,12.86,1.02778,Snaking_E1_0_E2_3_Fric_0_load_0.jpg
151,0.1,0.1,8,0.01,10,27.5,1.77759,Snaking_E1_0_E2_3_Fric_0_load_1.jpg
152,0.1,0.1,10,0.01,9,35.38,2.06334,Snaking_E1_0_E2_3_Fric_0_load_2.jpg
153,0.1,0.1,12,0.01,10,42.12,3.02322,Snaking_E1_0_E2_3_Fric_0_load_3.jpg
154,0.1,0.1,14,0.01,10,44.98,2.99545,Snaking_E1_0_E2_3_Fric_0_load_4.jpg
155,0.1,0.1,6,5,6,12.38,0.998201,Snaking_E1_0_E2_3_Fric_1_load_0.jpg
156,0.1,0.1,8,5,9,28.56,1.87015,Snaking_E1_0_E2_3_Fric_1_load_1.jpg
157,0.1,0.1,10,5,9,34.41,3.87091,Snaking_E1_0_E2_3_Fric_1_load_2.jpg
158,0.1,0.1,12,5,14,42.12,2.27518,Snaking_E1_0_E2_3_Fric_1_load_3.jpg
159,0.1,0.1,14,5,10,43.55,3.31914,Snaking_E1_0_E2_3_Fric_1_load_4.jpg
160,0.1,0.1,6,10,6,12.85,1.11652,Snaking_E1_0_E2_3_Fric_2_load_0.jpg
161,0.1,0.1,8,10,10,28.55,1.93019,Snaking_E1_0_E2_3_Fric_2_load_1.jpg
162,0.1,0.1,10,10,8,33.87,3.94762,Snaking_E1_0_E2_3_Fric_2_load_2.jpg
163,0.1,0.1,12,10,8,40.62,2.22375,Snaking_E1_0_E2_3_Fric_2_load_3.jpg
164,0.1,0.1,14,10,9,45.07,5.31559,Snaking_E1_0_E2_3_Fric_2_load_4.jpg
165,0.1,0.1,6,15,7,14.35,0.782836,Snaking_E1_0_E2_3_Fric_3_load_0.jpg
166,0.1,0.1,8,15,9,31.34,2.84578,Snaking_E1_0_E2_3_Fric_3_load_1.jpg
167,0.1,0.1,10,15,11,29.69,1.79068,Snaking_E1_0_E2_3_Fric_3_load_2.jpg
168,0.1,0.1,12,15,9,39.82,4.96052,Snaking_E1_0_E2_3_Fric_3_load_3.jpg
169,0.1,0.1,14,15,8,42.71,6.36631,Snaking_E1_0_E2_3_Fric_3_load_4.jpg
170,0.1,0.1,6,20,6,11.88,0.733676,Snaking_E1_0_E2_3_Fric_4_load_0.jpg
171,0.1,0.1,8,20,9,27.4,1.85137,Snaking_E1_0_E2_3_Fric_4_load_1.jpg
172,0.1,0.1,10,20,8,36.01,2.30259,Snaking_E1_0_E2_3_Fric_4_load_2.jpg
173,0.1,0.1,12,20,7,41.37,2.08322,Snaking_E1_0_E2_3_Fric_4_load_3.jpg
174,0.1,0.1,14,20,12,44.7,3.70996,Snaking_E1_0_E2_3_Fric_4_load_4.jpg
175,0.1,0.1,6,25,7,14.32,0.670636,Snaking_E1_0_E2_3_Fric_5_load_0.jpg
176,0.1,0.1,8,25,9,33.21,1.847,Snaking_E1_0_E2_3_Fric_5_load_1.jpg
177,0.1,0.1,10,25,10,35.96,1.94425,Snaking_E1_0_E2_3_Fric_5_load_2.jpg
178,0.1,0.1,12,25,10,41.81,2.6918,Snaking_E1_0_E2_3_Fric_5_load_3.jpg
179,0.1,0.1,14,25,8,46.5,3.17519,Snaking_E1_0_E2_3_Fric_5_load_4.jpg
180,0.1,0.1,6,30,6,12.35,0.792174,Snaking_E1_0_E2_3_Fric_6_load_0.jpg
181,0.1,0.1,8,30,9,29.16,1.63216,Snaking_E1_0_E2_3_Fric_6_load_1.jpg
182,0.1,0.1,10,30,10,35.42,1.94347,Snaking_E1_0_E2_3_Fric_6_load_2.jpg
183,0.1,0.1,12,30,11,38.09,2.91121,Snaking_E1_0_E2_3_Fric_6_load_3.jpg
184,0.1,0.1,14,30,8,45.59,3.84839,Snaking_E1_0_E2_3_Fric_6_load_4.jpg
185,0.1,0.1,6,35,6,12.86,1.2814,Snaking_E1_0_E2_3_Fric_7_load_0.jpg
186,0.1,0.1,8,35,9,32.13,2.29029,Snaking_E1_0_E2_3_Fric_7_load_1.jpg
187,0.1,0.1,10,35,8,34.46,2.29402,Snaking_E1_0_E2_3_Fric_7_load_2.jpg
188,0.1,0.1,12,35,6,42.22,5.24838,Snaking_E1_0_E2_3_Fric_7_load_3.jpg
189,0.1,0.1,14,35,11,43.37,2.99304,Snaking_E1_0_E2_3_Fric_7_load_4.jpg
190,0.1,0.1,6,40,6,13.33,1.25331,Snaking_E1_0_E2_3_Fric_8_load_0.jpg
191,0.1,0.1,8,40,8,33.22,2.0345,Snaking_E1_0_E2_3_Fric_8_load_1.jpg
192,0.1,0.1,10,40,8,35.47,2.40971,Snaking_E1_0_E2_3_Fric_8_load_2.jpg
193,0.1,0.1,12,40,13,40.85,2.54479,Snaking_E1_0_E2_3_Fric_8_load_3.jpg
194,0.1,0.1,14,40,9,43.9,5.63954,Snaking_E1_0_E2_3_Fric_8_load_4.jpg
195,0.1,0.1,6,45,7,14.77,0.627533,Snaking_E1_0_E2_3_Fric_9_load_0.jpg
196,0.1,0.1,8,45,10,29.91,1.68594,Snaking_E1_0_E2_3_Fric_9_load_1.jpg
197,0.1,0.1,10,45,9,32.36,3.80806,Snaking_E1_0_E2_3_Fric_9_load_2.jpg
198,0.1,0.1,12,45,9,41.32,2.40284,Snaking_E1_0_E2_3_Fric_9_load_3.jpg
199,0.1,0.1,14,45,8,46.03,4.32605,Snaking_E1_0_E2_3_Fric_9_load_4.jpg
200,0.1,0.15,6,0.01,5,9.36,0.441386,Snaking_E1_0_E2_4_Fric_0_load_0.jpg
201,0.1,0.15,8,0.01,10,26.4,1.39611,Snaking_E1_0_E2_4_Fric_0_load_1.jpg
202,0.1,0.15,10,0.01,9,34.28,3.23679,Snaking_E1_0_E2_4_Fric_0_load_2.jpg
203,0.1,0.15,12,0.01,6,38.12,2.75739,Snaking_E1_0_E2_4_Fric_0_load_3.jpg
204,0.1,0.15,14,0.01,10,47.45,2.83355,Snaking_E1_0_E2_4_Fric_0_load_4.jpg
205,0.1,0.15,6,5,5,9.35,0.373068,Snaking_E1_0_E2_4_Fric_1_load_0.jpg
206,0.1,0.15,8,5,10,26.4,1.39365,Snaking_E1_0_E2_4_Fric_1_load_1.jpg
207,0.1,0.15,10,5,7,37.84,2.57575,Snaking_E1_0_E2_4_Fric_1_load_2.jpg
208,0.1,0.15,12,5,6,42.13,2.41046,Snaking_E1_0_E2_4_Fric_1_load_3.jpg
209,0.1,0.15,14,5,8,42.51,3.35796,Snaking_E1_0_E2_4_Fric_1_load_4.jpg
210,0.1,0.15,6,10,4,6.87,0.401657,Snaking_E1_0_E2_4_Fric_2_load_0.jpg
